#;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
bloodline_inheritance_genetic;Follows genetic inheritance;;;;;;;;;;;;;
bloodline_inheritance_vampiric;Follows vampiric inheritance;;;;;;;;;;;;;
bloodline_inheritance_high_vampiric;Follows high vampiric inheritance;;;;;;;;;;;;;
BL_blood_of_the_gods_generic;Blood of the Gods;Sang de les dieux;;;;;;;;;;;;x
BL_blood_of_the_gods_generic_desc;Divine blood flows through this character's veins.;;;;;;;;;;;;;x
BL_blood_of_asgard;Blood of Asgard;Sang d'Asgard;;;;;;;;;;;;x
BL_blood_of_asgard_desc;The gods of the Norse, the Æsir and the Vanir, have reigned since time immemorial. With the rise of the monotheistic religions in the south, their authority now stands challenged.;;;;;;;;;;;;;x
BL_blood_of_olympus;Blood of Olympus;;;;;;;;;;;;x;
BL_blood_of_olympus;While the gods of the greeks have long since fallen out of favor, displaced by the Christians and Muslims, their blood still flows in the veins of some.;;;;;;;;;;;;x;
BL_blood_of_odin;Blood of [GetName_Odin];;;;;;;;;;;;x;
BL_blood_of_odin_desc;[GetName_Odin], the All-Father, chief among the germanic gods, was associated with wisdom, healing, knowledge, battle, and magic.;;;;;;;;;;;;x;
BL_blood_of_thor;Blood of [GetName_Thor];;;;;;;;;;;;x;
BL_blood_of_thor_desc;[GetName_Thor], the red-haired god of thunder, is among the most revered of the germanic gods as a slayer of giants and protector of men.;;;;;;;;;;;;x;
BL_blood_of_loki;Blood of [GetName_Loki];;;;;;;;;;;;x;
BL_blood_of_loki;[GetName_Loki], the trickster and father of monsters, is well renowed for his cunning, though his frequent malice left him more feared than revered.  He is known to have fathered, and even mothered, many strange creatures who bear his blood.;;;;;;;;;;;;x;
BL_blood_of_heimdal;Blood of [GetName_Heimdal];;;;;;;;;;;;x;
BL_blood_of_heimdal_desc;[GetName_Heimdal], the keen-eyed guardian of Bifrost, is held by worshippers as the creator of mankind's social order.;;;;;;;;;;;;x;
BL_blood_of_tyr;Blood of [GetName_Tyr];;;;;;;;;;;;x;
BL_blood_of_tyr_desc;[GetName_Tyr], the one-handed god, is said by worshippers to have offered his own hand to stay the wolf Fenrir, who ate [GetName_Tyr]'s hand whilst being bound by the gods.;;;;;;;;;;;;x;
BL_blood_of_njorthr;Blood of [GetName_Njorthr];;;;;;;;;;;;x;
BL_blood_of_njorthr_desc;The germanic sea-god [GetName_Njorthr] is mostly known for his twin children, [GetName_Freyr] and [GetName_Freyja], who bear his blood.;;;;;;;;;;;;x;
BL_blood_of_sif;Blood of [GetName_Sif];;;;;;;;;;;;x;
BL_blood_of_sif_desc;[GetName_Sif], the germanic goddess of earth, family, and fertility, wife of [GetName_Thor], wears a golden headpiece made by [GetName_Loki] as forced penance for shearing her hair.;;;;;;;;;;;;x;
BL_blood_of_aphrodite;Blood of [GetAphroditeVenusName];;;;;;;;;;;;x;
BL_blood_of_aphrodite_desc;[GetAphroditeVenusName], born of the castration of [GetCaelusUranusName], is the [GetHellenicPagan_Greek_Roman] goddess of love, beauty, and pleasure. Fond of many lovers, her blood if oft found in mortal veins.;;;;;;;;;;;;x;
BL_blood_of_zeus;Blood of [GetZeusJupiterName];;;;;;;;;;;;x;
BL_blood_of_zeus_desc;Born of [GetKronosSaturnName], [GetZeusJupiterName] freed his brothers and sisters from his father's belly, and was given domain over the sky and air and the gift of lightning;;;;;;;;;;;;x;
BL_blood_of_poseidon;Blood of [GetPoseidonNeptuneName];;;;;;;;;;;;x;
BL_blood_of_poseidon_desc;[GetPoseidonNeptuneName], second son of [GetKronosSaturnName], was given domain over the sea after the fall of his father.;;;;;;;;;;;;x;
BL_blood_of_hestia;Blood of [GetHestiaVestaName];;;;;;;;;;;;x;
BL_blood_of_hestia_desc;[GetHestiaVestaName], eldest daughter of [GetKronosSaturnName] and [GetHellenicPagan_Greek_Roman] goddess of the hearth and agriculture, is due the first offering at every household sacrifice.;;;;;;;;;;;;x;
BL_blood_of_hades;Blood of [GetHadesPlutoName];;;;;;;;;;;;x;
BL_blood_of_hades_desc;[GetHadesPlutoName], eldest son of [GetKronosSaturnName] and [GetHellenicPagan_Greek_Roman] god of the underworld, hold domains over the [GetHellenicPagan_Greek_Roman] afterlife and the riches below the ground.;;;;;;;;;;;;x;
BL_blood_of_demeter;Blood of [GetDemetraCeresName];;;;;;;;;;;;x;
BL_blood_of_demeter_desc;[GetDemetraCeresName], [GetHellenicPagan_Greek_Roman] goddess of the harvest, sacred law, and the cycle of life and death, brought mankind its greatest gifts - agriculture and hope in the afterlife;;;;;;;;;;;;x;
BL_blood_of_athena;Blood of [GetAthenaMinervaName];;;;;;;;;;;;x;
BL_blood_of_athena_desc;[GetGreekPallas][GetAthenaMinervaName], goddess of both war and wisdom, was born fully formed from the wounded head of [GetZeusJupiterName].;;;;;;;;;;;;x;
BL_blood_of_ares;Blood of [GetAresMarsName];;;;;;;;;;;;x;
BL_blood_of_ares_desc;[GetAresMarsName], [GetHellenicPagan_Greek_Roman] god of war, represents the physical and violent aspects of war. In battle, before him ride is sons [GetPhobosTimorusName] and [GetDeimosFormidoName] - Fear and Dread.;;;;;;;;;;;;x;
BL_blood_of_hermes;Blood of [GetHermesMercuryName];;;;;;;;;;;;x;
BL_blood_of_hermes_desc;[GetHermesMercuryName] is the [GetHellenicPagan_Greek_Roman] messenger of the gods and son of [GetZeusJupiterName]. He is also the patron of thieves and a divine trickster, outwitting other gods for humanity or his own amusement.;;;;;;;;;;;;x;
BL_blood_of_apollo;Blood of [GetApolloName];;;;;;;;;;;;x;
BL_blood_of_apollo_desc;[GetApolloName], leader of the Muses, is the god of music, prophecy, healing, plague, light, and poetry, giver of laws, protector of the young, and patron of both doctors and herdsmen.;;;;;;;;;;;;x;
BOTG_Sky;Blood of [GetCaelusUranusName];;;;;;;;;;;;x;
BOTG_Sky_desc;[GetCaelusUranusName], primal god of the sky, hated the children born to him by [GetGaiaTerraName] and imprisoned them in Tartatus, where they brought pain to [GetGaiaTerraName] until he was castrated by his son, [GetKronosSaturnName].;;;;;;;;;;;;x;
BOTG_Time;Blood of [GetKronosSaturnName];;;;;;;;;;;;x;
BOTG_Time_desc;After castrating his father [GetCaelusUranusName], [GetKronosSaturnName] feared that he too would be overthrown by his offspring and ate them, save his youngest, [GetZeusJupiterName], who was hidden from him.;;;;;;;;;;;;x;
bloodline_effect_strategist;Increased chance of commanders having the §GStrategist§! trait;;;;;;;;;;;;x;
bloodline_effect_better_physicians;Improve more rapidly as a §GCourt Physician§! and recuit higher quality §GCourt Physicians§!;;;;;;;;;;;;x;
TT_Blood_of_the_gods;Has trait §YBlood of the Gods§! of a §YDivine Bloodline§!;;;;;;;;;;;;x;
String_blood_of_the_religion_gods;Blood of the [From.Religion.GetName] Gods;;;;;;;;;;;;x;
bloodline_effect_no_menopause;Prevents infertility due to age;;;;;;;;;;;;x;
bloodline_description_random;The blood of [Root.GetHighGodName] flows through this character's veins.;;;;;;;;;;;;;
bloodline_name_random;Blood of [Root.GetHighGodName];;;;;;;;;;;;;
BL_blood_of_random_1;The blood of [Root.GetHighGodName] flows through this character's veins.;;;;;;;;;;;;;
BL_blood_of_random_1_desc;Blood of [Root.GetHighGodName];;;;;;;;;;;;;
BL_blood_of_random_2;The blood of [Root.GetHighGodName] flows through this character's veins.;;;;;;;;;;;;;
BL_blood_of_random_2_desc;Blood of [Root.GetHighGodName];;;;;;;;;;;;;
BL_blood_of_random_3;The blood of [Root.GetHighGodName] flows through this character's veins.;;;;;;;;;;;;;
BL_blood_of_random_3_desc;Blood of [Root.GetHighGodName];;;;;;;;;;;;;
BL_blood_of_random_4;The blood of [Root.GetHighGodName] flows through this character's veins.;;;;;;;;;;;;;
BL_blood_of_random_4_desc;Blood of [Root.GetHighGodName];;;;;;;;;;;;;
BL_blood_of_random_5;The blood of [Root.GetHighGodName] flows through this character's veins.;;;;;;;;;;;;;
BL_blood_of_random_5_desc;Blood of [Root.GetHighGodName];;;;;;;;;;;;;
BL_blood_of_random_6;The blood of [Root.GetHighGodName] flows through this character's veins.;;;;;;;;;;;;;
BL_blood_of_random_6_desc;Blood of [Root.GetHighGodName];;;;;;;;;;;;;
BL_blood_of_random_7;The blood of [Root.GetHighGodName] flows through this character's veins.;;;;;;;;;;;;;
BL_blood_of_random_7_desc;Blood of [Root.GetHighGodName];;;;;;;;;;;;;
BL_blood_of_random_8;The blood of [Root.GetHighGodName] flows through this character's veins.;;;;;;;;;;;;;
BL_blood_of_random_8_desc;Blood of [Root.GetHighGodName];;;;;;;;;;;;;
BL_blood_of_random_9;The blood of [Root.GetHighGodName] flows through this character's veins.;;;;;;;;;;;;;
BL_blood_of_random_9_desc;Blood of [Root.GetHighGodName];;;;;;;;;;;;;
BL_of_utgardr_loki;Blood of Útgarða-Loki;;;;;;;;;;;;;
BL_of_utgardr_loki_desc;A clever giant who tricked Þórr, Loki, and Þjálfi into challenges they were incapable of defeating even as Þórr lifted the world-serpent Jörmungandr.;;;;;;;;;;;;;
BL_alchemist;Magical Blood of [This.GetTitledFirstName];;;;;;;;;;;;;
BL_alchemist_desc;[This.GetTitledFirstName] became legendary for successfully creating the Philosopher's Stone, granting eternal life;;;;;;;;;;;;;
BL_herbalist;Magical Blood of [This.GetTitledFirstName];;;;;;;;;;;;;
BL_herbalist_desc;[This.GetSheHeCap] became famous for establishing a system of apothecaries to aid many cities through a devastating plague.;;;;;;;;;;;;;
BL_enchanter;Magical Blood of [This.GetTitledFirstName];;;;;;;;;;;;;
BL_enchanter_desc;[This.GetSheHeCap] became famous for creating one of the most beautiful cities in the world, the likes of which may never been seen again.;;;;;;;;;;;;;
BL_summoner;Magical Blood of [This.GetTitledFirstName];;;;;;;;;;;;;
BL_summoner_desc;[This.GetSheHeCap] perfected the art of conjuration, advised my many magical beings from beyond this world.;;;;;;;;;;;;;
BL_necromancer;Dread Blood of [This.GetTitledFirstName];;;;;;;;;;;;;
BL_necromancer_desc;[This.GetTitledFirstName] was famed as a ruler of the dead, calling forth armies of revenants to do [This.GetHerHis] bidding.;;;;;;;;;;;;;
bloodline_effect_necromancer_study;Characters can study §YNecromancy§!;;;;;;;;;;;;;
BL_magic_heritage;Magical Blood of [This.GetTitledFirstName];;;;;;;;;;;;;
BL_magic_heritage_desc;[This.GetSheHeCap] was known not only as a powerful mage, but for this power continuing through [This.GetHerHis] family line.;;;;;;;;;;;;;
bloodline_effect_magic_heritage;Children can always study §YMagic§!;;;;;;;;;;;;;
bloodline_effect_magic_education;Children get better results from §YMagic Education§!;;;;;;;;;;;;;
bloodline_effect_magic_tower;Can use any magic tower.;;;;;;;;;;;;;
bloodline_effect_duel_advantage_monster;Gain an advantage in duels against §Ymonsters§!.;;;;;;;;;;;;;
bloodline_effect_gain_monster_hunter;More likely to gain the §YMonster Hunter§! trait.;;;;;;;;;;;;;
bloodline_effect_duel_advantage_werewolf_vampire;Gain an advantage in duels against §Ywerewolves§! and §Yvampires§!.;;;;;;;;;;;;;
bloodline_effect_duel_advantage_dragon;Gain an advantage in duels against §Ydragons§!.;;;;;;;;;;;;;
bloodline_effect_bank_interest;Gain interest on funds set aside for loans.;;;;;;;;;;;;;
bloodline_effect_better_summons;Summons have stronger effects.;;;;;;;;;;;;;
BL_monster_hunter;Monster Hunter Blood of [Root.GetFirstName];;;;;;;;;;;;;
