scorch_tactic;Rain of Fire Tactic;;;;;;;;;;;;;x
shamble_tactic_skirmish;Shamble;;;;;;;;;;;;;x
shamble_tactic_melee;Shamble;;;;;;;;;;;;;x
undead_charge;Undead Charge;;;;;;;;;;;;;x
werewolf_charge_tactic;Frenzied Charge;;;;;;;;;;;;;x
night_volley;Night Volley;;;;;;;;;;;;;x
giant_skirmish;Hulking Hurl;;;;;;;;;;;;;x
overpower_tactic;Overpower;;;;;;;;;;;;;x
turn_undead_tactic;Turn Undead;;;;;;;;;;;;;x
smite_undead_tactic;Smite Undead;;;;;;;;;;;;;x
jotunn;Jotunn;;;;;;;;;;;;;x
djinni;Djinni;;;;;;;;;;;;;x
undead_culture_group;Undead;;;;;;;;;;;;;x
zombie_culture;Zombie;;;;;;;;;;;;;x
ethereal_culture;Ethereal;;;;;;;;;;;;;x
demon_culture;Demon;;;;;;;;;;;;;x
supernatural_culture_group;Supernatural;;;;;;;;;;;;;x
draconic_pagan_opinion;Old Draconic Pagan Opinion;;;;;;;;;;;;;x
draconic_pagan_reformed_opinion;Reformed Draconic Pagan Opinion;;;;;;;;;;;;;x
werewolf_culture_opinion;Lycan Opinion;;;;;;;;;;;;;x
vampire_culture_opinion;Vampire Cultural Opinion;;;;;;;;;;;;;x
satanist_opinion;Luciferian Opinion;;;;;;;;;;;;;x
monster_hunter_opinion;Monster Hunter Opinion;;;;;;;;;;;;;x
dragon_opinion;Dragon Opinion;;;;;;;;;;;;;x
kemetic_pagan_opinion;Old Kemetic Pagan Opinion;;;;;;;;;;;;;x
kemetic_pagan_reformed_opinion;Kemetic Pagan Opinion;;;;;;;;;;;;;x
destroyed_eternal_flame;Destroyed Eternal Flame;;;;;;;;;;;;;x
lost_eternal_flame;Lost Eternal Flame;;;;;;;;;;;;;x
relit_eternal_flame;Relit Eternal Flame;;;;;;;;;;;;;x
built_eternal_flame;Built Eternal Flame;;;;;;;;;;;;;x
ruler_unlanded_sapphire_flame;Liege of Unlanded Sapphire Flame;;;;;;;;;;;;;x
unlanded_sapphire_flame;Unlanded Sapphire Flame;;;;;;;;;;;;;x
key_impure;impure;;;;;;;;;;;;;x
key_pure;pure;;;;;;;;;;;;;x
key_impure_art;an impure;;;;;;;;;;;;;x
